timestamp,open,high,low,close,volume
1746057600000,3100.00,3105.42,3095.18,3102.35,342.50
1746057900000,3102.35,3107.11,3098.63,3104.82,278.31
1746058200000,3104.82,3109.55,3100.07,3101.19,456.78
1746058500000,3101.19,3106.88,3097.44,3099.56,312.44
1746058800000,3099.56,3103.27,3094.81,3105.63,289.12
1746059100000,3105.63,3111.94,3101.88,3108.77,367.89
1746059400000,3108.77,3113.55,3104.02,3106.42,445.23
1746059700000,3106.42,3110.13,3101.67,3112.91,298.56
1746060000000,3112.91,3118.62,3108.16,3115.24,387.45
1746060300000,3115.24,3120.95,3110.49,3113.87,412.34
1746060600000,3113.87,3118.58,3109.12,3117.56,356.78
1746060900000,3117.56,3122.27,3112.81,3114.23,324.56
1746061200000,3114.23,3119.94,3109.48,3119.87,445.12
1746061500000,3119.87,3124.58,3115.12,3116.44,367.89
1746061800000,3116.44,3121.15,3111.69,3123.12,298.34
1746062100000,3123.12,3128.83,3118.37,3120.78,412.56
1746062400000,3120.78,3125.49,3116.03,3126.45,378.23
1746062700000,3126.45,3131.16,3121.70,3124.11,334.67
1746063000000,3124.11,3128.82,3119.36,3129.78,456.12
1746063300000,3129.78,3134.49,3125.03,3127.34,289.45
1746063600000,3127.34,3132.05,3122.59,3133.56,367.89
1746063900000,3133.56,3138.27,3128.81,3130.12,445.23
1746064200000,3130.12,3134.83,3125.37,3136.78,312.45
1746064500000,3136.78,3141.49,3132.03,3134.23,378.56
1746064800000,3134.23,3138.94,3129.48,3139.87,423.78
1746065100000,3139.87,3144.58,3135.12,3137.45,356.12
1746065400000,3137.45,3142.16,3132.70,3143.12,445.89
1746065700000,3143.12,3147.83,3138.37,3140.56,298.34
1746066000000,3140.56,3145.27,3135.81,3146.23,412.56
1746066300000,3146.23,3150.94,3141.48,3143.78,367.89
1746066600000,3143.78,3148.49,3139.03,3149.45,334.12
1746066900000,3149.45,3154.16,3144.70,3146.12,456.78
1746067200000,3146.12,3150.83,3141.37,3152.34,289.45
1746067500000,3152.34,3156.05,3147.59,3149.87,378.23
1746067800000,3149.87,3154.58,3145.12,3155.56,412.56
1746068100000,3155.56,3160.27,3150.81,3153.12,345.89
1746068400000,3153.12,3157.83,3148.37,3158.78,456.12
1746068700000,3158.78,3163.49,3154.03,3156.34,367.89
1746069000000,3156.34,3161.05,3151.59,3162.45,423.34
1746069300000,3162.45,3167.16,3157.70,3159.12,298.56
1746069600000,3159.12,3163.83,3154.37,3165.78,378.45
1746069900000,3165.78,3170.49,3160.03,3162.34,445.12
1746070200000,3162.34,3166.05,3157.59,3168.56,312.78
1746070500000,3168.56,3173.27,3163.81,3165.12,367.45
1746070800000,3165.12,3169.83,3160.37,3171.87,423.89
1746071100000,3171.87,3176.58,3167.12,3168.45,456.12
1746071400000,3168.45,3173.16,3163.70,3174.23,334.56
1746071700000,3174.23,3178.94,3169.48,3171.78,389.23
1746072000000,3171.78,3176.49,3167.03,3177.56,412.78
1746072300000,3177.56,3182.27,3172.81,3174.12,345.45
1746072600000,3174.12,3178.83,3169.37,3180.34,456.89
1746072900000,3180.34,3184.05,3175.59,3177.78,367.12
1746073200000,3177.78,3182.49,3173.03,3183.56,423.45
1746073500000,3183.56,3188.27,3178.81,3180.12,298.78
1746073800000,3180.12,3184.83,3175.37,3186.45,378.56
1746074100000,3186.45,3191.16,3181.70,3183.78,445.23
1746074400000,3183.78,3188.49,3179.03,3189.56,334.89
1746074700000,3189.56,3193.27,3184.81,3186.12,412.34
1746075000000,3186.12,3190.83,3181.37,3192.45,367.78
1746075300000,3192.45,3197.16,3187.70,3189.78,456.12
1746075600000,3189.78,3194.49,3185.03,3195.56,298.45
1746075900000,3195.56,3199.27,3190.81,3192.12,423.89
1746076200000,3192.12,3196.83,3187.37,3198.34,345.56
1746076500000,3198.34,3202.05,3193.59,3195.78,445.12
1746076800000,3195.78,3199.49,3191.03,3201.56,367.89
1746077100000,3201.56,3205.27,3196.81,3198.12,412.34
1746077400000,3198.12,3202.83,3193.37,3204.45,334.78
1746077700000,3204.45,3208.16,3199.70,3201.78,456.12
1746078000000,3201.78,3206.49,3197.03,3207.56,298.45
1746078300000,3207.56,3205.27,3195.81,3200.34,378.89
1746078600000,3200.34,3196.83,3191.37,3194.12,423.56
1746078900000,3194.12,3198.83,3189.37,3190.78,367.23
1746079200000,3190.78,3195.49,3186.03,3196.45,445.89
1746079500000,3196.45,3200.16,3191.70,3193.12,312.56
1746079800000,3193.12,3197.83,3188.37,3188.78,378.45
1746080100000,3188.78,3193.49,3184.03,3191.56,412.78
1746080400000,3191.56,3196.27,3186.81,3187.34,445.12
1746080700000,3187.34,3191.05,3182.59,3190.45,298.89
1746081000000,3190.45,3195.16,3185.70,3186.12,367.34
1746081300000,3186.12,3190.83,3181.37,3188.78,423.56
1746081600000,3188.78,3193.49,3184.03,3185.45,334.89
1746081900000,3185.45,3190.16,3180.70,3182.34,456.12
1746082200000,3182.34,3186.05,3177.59,3184.56,378.45
1746082500000,3184.56,3188.27,3179.81,3181.12,412.89
1746082800000,3181.12,3185.83,3176.37,3183.78,345.56
1746083100000,3183.78,3187.49,3178.03,3180.45,445.12
1746083400000,3180.45,3185.16,3175.70,3177.34,298.78
1746083700000,3177.34,3181.05,3172.59,3179.56,367.23
1746084000000,3179.56,3183.27,3174.81,3176.12,423.56
1746084300000,3176.12,3180.83,3171.37,3178.78,334.89
1746084600000,3178.78,3182.49,3173.03,3175.45,456.12
1746084900000,3175.45,3179.16,3170.70,3177.56,378.45
1746085200000,3177.56,3181.27,3172.81,3174.12,412.89
1746085500000,3174.12,3178.83,3169.37,3176.78,345.56
1746085800000,3176.78,3180.49,3172.03,3173.45,445.12
1746086100000,3173.45,3177.16,3168.70,3175.56,298.78
1746086400000,3175.56,3179.27,3170.81,3172.12,367.23
1746086700000,3172.12,3176.83,3167.37,3174.78,423.56
1746087000000,3174.78,3178.49,3169.03,3171.45,334.89
1746087300000,3171.45,3175.16,3166.70,3173.56,456.12
1746087600000,3173.56,3177.27,3168.81,3170.12,378.45
1746087900000,3170.12,3174.83,3165.37,3168.78,412.89
1746088200000,3168.78,3172.49,3163.03,3165.45,345.56
1746088500000,3165.45,3169.16,3160.70,3167.56,445.12
1746088800000,3167.56,3171.27,3162.81,3164.12,298.78
1746089100000,3164.12,3168.83,3159.37,3162.78,367.23
1746089400000,3162.78,3166.49,3157.03,3165.45,423.56
1746089700000,3165.45,3169.16,3160.70,3162.12,334.89
